County,Region,Recommendation
Alameda,Northern,"You're in the North, we have three test burn scars in your region. Burns in these areas tend to increase total nitrogen, organic matter, total carbon and the carbon accessible to microbes. These different starting nutrients impact different biological treatments"
Alpine,Northern,"You're in the North, we have three test burn scars in your region. Burns in these areas tend to increase total nitrogen, organic matter, total carbon and the carbon accessible to microbes. These different starting nutrients impact different biological treatments"
Amador,Northern,"You're in the North, we have three test burn scars in your region. Burns in these areas tend to increase total nitrogen, organic matter, total carbon and the carbon accessible to microbes. These different starting nutrients impact different biological treatments"
Butte,Northern,"You're in the North, we have three test burn scars in your region. Burns in these areas tend to increase total nitrogen, organic matter, total carbon and the carbon accessible to microbes. These different starting nutrients impact different biological treatments"
Calaveras,Northern,"You're in the North, we have three test burn scars in your region. Burns in these areas tend to increase total nitrogen, organic matter, total carbon and the carbon accessible to microbes. These different starting nutrients impact different biological treatments"
Colusa,Northern,"You're in the North, we have three test burn scars in your region. Burns in these areas tend to increase total nitrogen, organic matter, total carbon and the carbon accessible to microbes. These different starting nutrients impact different biological treatments"
Contra Costa,Northern,"You're in the North, we have three test burn scars in your region. Burns in these areas tend to increase total nitrogen, organic matter, total carbon and the carbon accessible to microbes. These different starting nutrients impact different biological treatments"
Del Norte,Northern,"You're in the North, we have three test burn scars in your region. Burns in these areas tend to increase total nitrogen, organic matter, total carbon and the carbon accessible to microbes. These different starting nutrients impact different biological treatments"
El Dorado,Northern,"You're in the North, we have three test burn scars in your region. Burns in these areas tend to increase total nitrogen, organic matter, total carbon and the carbon accessible to microbes. These different starting nutrients impact different biological treatments"
Fresno,Southern,"You're in the South, we have two test burn scars in your region. Burns in these areas tend to decrease the total nitrogen, nitrate, organic material, and carbon (both active and CO2-carbon) and this impacts the sucess of a biological treatment"
Glenn,Northern,"You're in the North, we have three test burn scars in your region. Burns in these areas tend to increase total nitrogen, organic matter, total carbon and the carbon accessible to microbes. These different starting nutrients impact different biological treatments"
Humboldt,Northern,"You're in the North, we have three test burn scars in your region. Burns in these areas tend to increase total nitrogen, organic matter, total carbon and the carbon accessible to microbes. These different starting nutrients impact different biological treatments"
Imperial,Southern,"You're in the South, we have two test burn scars in your region. Burns in these areas tend to decrease the total nitrogen, nitrate, organic material, and carbon (both active and CO2-carbon) and this impacts the sucess of a biological treatment"
Inyo,Southern,"You're in the South, we have two test burn scars in your region. Burns in these areas tend to decrease the total nitrogen, nitrate, organic material, and carbon (both active and CO2-carbon) and this impacts the sucess of a biological treatment"
Kern,Southern,"You're in the South, we have two test burn scars in your region. Burns in these areas tend to decrease the total nitrogen, nitrate, organic material, and carbon (both active and CO2-carbon) and this impacts the sucess of a biological treatment"
Kings,Southern,"You're in the South, we have two test burn scars in your region. Burns in these areas tend to decrease the total nitrogen, nitrate, organic material, and carbon (both active and CO2-carbon) and this impacts the sucess of a biological treatment"
Lake,Northern,"You're in the North, we have three test burn scars in your region. Burns in these areas tend to increase total nitrogen, organic matter, total carbon and the carbon accessible to microbes. These different starting nutrients impact different biological treatments"
Lassen,Northern,"You're in the North, we have three test burn scars in your region. Burns in these areas tend to increase total nitrogen, organic matter, total carbon and the carbon accessible to microbes. These different starting nutrients impact different biological treatments"
