County,Location,FireType,RecommendationFireType
Alameda County,East Bay,Structure Fire,Do not use XX
Alameda County,Oakland Hills,Wildfire,Consider X and Y
Alameda County,Tri-Valley,Prescribed Fire,Consider Z and Q
Alpine County,Mountain,Structure Fire,Do not use XX
Amador County,Gold Country,Wildfire,Consider X and Y
Butte County,North Valley,Prescribed Fire,Consider Z and Q
Calaveras County,Gold Country,Structure Fire,Do not use XX
Colusa County,Sacramento Valley,Wildfire,Consider X and Y
Contra Costa County,East Bay,Prescribed Fire,Consider Z and Q
Del Norte County,North Coast,Structure Fire,Do not use XX
El Dorado County,Sierra Nevada,Wildfire,Consider X and Y
Fresno County,Sierra Nevada,Prescribed Fire,Consider Z and Q
Fresno County,Foothills,Structure Fire,Do not use XX
Fresno County,Central Valley,Wildfire,Consider X and Y
Glenn County,Sacramento Valley,Prescribed Fire,Consider Z and Q
Humboldt County,North Coast,Structure Fire,Do not use XX
Imperial County,Desert,Wildfire,Consider X and Y
Inyo County,Eastern Sierra,Prescribed Fire,Consider Z and Q
Kern County,Foothills,Structure Fire,Do not use XX
Kern County,Central Valley,Wildfire,Consider X and Y
Kings County,Central Valley,Prescribed Fire,Consider Z and Q
Lake County,North Coast,Structure Fire,Do not use XX
Lassen County,Northeast,Wildfire,Consider X and Y
Los Angeles County,Downtown,Prescribed Fire,Consider Z and Q
Los Angeles County,Westside,Structure Fire,Do not use XX
Los Angeles County,Valley,Wildfire,Consider X and Y
Madera County,Central Valley,Prescribed Fire,Consider Z and Q
Marin County,Coastal,Structure Fire,Do not use XX
Marin County,Interior,Wildfire,Consider X and Y
Mariposa County,Sierra Nevada,Prescribed Fire,Consider Z and Q
Mendocino County,Interior,Structure Fire,Do not use XX
Mendocino County,North Coast,Wildfire,Consider X and Y
Merced County,Central Valley,Prescribed Fire,Consider Z and Q
Modoc County,Northeast,Structure Fire,Do not use XX
Mono County,Eastern Sierra,Wildfire,Consider X and Y
Monterey County,Interior,Prescribed Fire,Consider Z and Q
Monterey County,Central Coast,Structure Fire,Do not use XX
Napa County,Wine Country,Wildfire,Consider X and Y
Nevada County,Sierra Nevada,Prescribed Fire,Consider Z and Q
Orange County,South Coast,Structure Fire,Do not use XX
Placer County,Sierra Nevada,Wildfire,Consider X and Y
Plumas County,Northeast,Prescribed Fire,Consider Z and Q
Riverside County,Mojave desert,Structure Fire,Do not use XX
Riverside County,Inland Empire,Wildfire,Consider X and Y
Sacramento County,Sacramento Valley,Prescribed Fire,Consider Z and Q
San Benito County,Central Coast,Structure Fire,Do not use XX
San Bernardino County,Inland Empire,Wildfire,Consider X and Y
San Diego County,North County,Prescribed Fire,Consider Z and Q
San Diego County,Central,Structure Fire,Do not use XX
San Diego County,South Bay,Wildfire,Consider X and Y
San Francisco County,The City,Prescribed Fire,Consider Z and Q
San Joaquin County,Central Valley,Structure Fire,Do not use XX
San Luis Obispo County,Interior,Wildfire,Consider X and Y
San Luis Obispo County,Central Coast,Prescribed Fire,Consider Z and Q
San Mateo County,Bay Area,Structure Fire,Do not use XX
Santa Barbara County,Interior,Wildfire,Consider X and Y
Santa Barbara County,Central Coast,Prescribed Fire,Consider Z and Q
Santa Clara County,Silicon Valley,Structure Fire,Do not use XX
Santa Cruz County,Central Coast,Wildfire,Consider X and Y
Shasta County,North State,Prescribed Fire,Consider Z and Q
Sierra County,Sierra Nevada,Structure Fire,Do not use XX
Siskiyou County,North State,Wildfire,Consider X and Y
Solano County,North Bay,Prescribed Fire,Consider Z and Q
Sonoma County,Coastal,Wildfire,Consider X and Y
Sonoma County,Wine Country,Prescribed Fire,Consider Z and Q
Stanislaus County,Central Valley,Structure Fire,Do not use XX
Sutter County,Sacramento Valley,Wildfire,Consider X and Y
Tehama County,North State,Prescribed Fire,Consider Z and Q
Trinity County,North State,Structure Fire,Do not use XX
Tulare County,Central Valley,Wildfire,Consider X and Y
Tuolumne County,Eastern Sierra,Prescribed Fire,Consider Z and Q
Tuolumne County,Sierra Nevada,Structure Fire,Do not use XX
Ventura County,Interior,Wildfire,Consider X and Y
Ventura County,South Coast,Prescribed Fire,Consider Z and Q
Yolo County,Sacramento Valley,Wildfire,Consider X and Y
Yuba County,Sacramento Valley,Prescribed Fire,Consider Z and Q
